  time         acel
7472.46   0.97359996
7474.44   1.27170002
7478.11   1.23429999
7481.53   1.27389996
7486.87   1.10559998
7488.49   1.18370004
7494.42   1.19800003
7497.96   1.25850000
7501.77   1.31569996
7507.77   1.43230002
7515.77   1.59839996
7519.77   1.78870001
7523.78   2.23089995
7525.78   2.47179995
7527.78   1.77880000
7529.78   2.29910000
7531.78   1.38610004
7535.78   1.42349997
7537.78   0.90649998
7539.78   1.46640004
7541.66   0.82070004
7545.56   0.86250004
7549.47   0.85369999
7551.47   0.94720001
7553.56   1.07369999
7555.56   1.30030000
7557.56   0.97800003
7559.56   1.20679998
7561.56   0.86360001
7567.35   0.80750001
7571.27   1.09680003
7579.27   1.10229997
7586.74   1.70949998
7586.92   3.20439997
7590.16   2.94480001
7596.16   1.79639999
7598.16   0.56769998
7602.17   0.56550004
7611.88   1.04289997
7615.67   1.14190004
7618.75   1.19910000
7620.75   1.26070004
7622.73   1.19689996
7630.56   0.95269995
7632.76   0.97140002
7634.76   1.36739998
7640.55   1.05609999
7642.21   1.26619998
7650.75   2.29140002
7652.64   3.04600001
7657.23   4.87860003
7659.23   5.10630001
7661.24   4.72240000
7661.97   5.13159999
7663.97   4.36490004
7665.97   5.00070004
7667.91   4.34289997
7669.90   4.69159999
7671.59   1.01209995
7675.42   3.91830003
7678.69   4.34400004
7680.60   4.83350002
7682.59   4.59590003
7684.57   4.83239995
7686.52   4.29560003
7688.46   4.55850000
7689.43   4.10529998
7691.43   4.73009998
7693.37   4.04589998
7695.35   4.67179995
7697.35   4.13279999
7699.32   4.35830003
7701.27   3.15159999
7703.08   4.42319997
7705.07   3.89740003
7706.74   4.16030000
7708.03   3.85009998
7709.61   4.48810001
7711.22   3.85230002
7713.22   4.15369999
7714.54   3.78079997
7716.23   4.19000005
7718.23   1.55880000
7720.23   3.95350002
7722.23   3.51239995
7724.23   3.74889998
7726.23   3.26600001
7728.23   3.51569996
7730.24   3.19779996
7732.19   3.49809996
7734.19   3.01740003
7736.04   3.32760005
7736.54   1.65119995
7742.43   0.80420001
7748.30   0.97249999
7749.10   1.15620003
7753.09   0.78880005
7757.07   0.89000005
7759.06   0.85149995
7760.99   0.87459999
7766.75   0.90319997
7768.73   1.05609999
7778.47   3.74010003
7779.65   4.03929996
7781.65   3.74450001
7783.65   4.02390001
7785.61   3.04709998
7787.61   3.83910000
7789.48   1.19249999
7794.48   0.61609999
7796.41   0.29269995
7802.25   0.55890003
7806.42   1.07590003
7808.35   1.12540001
7810.28   0.38180000
7814.23   0.68430004
7818.19   0.86139997
7820.19   0.94829998
7822.13   0.92300001
7826.06   1.01980003
7829.95   0.69970000
7831.88   0.89110002
7836.29   1.02529998
7844.27   0.84160004
7846.24   0.81080002
7848.22   0.83719996
7855.64   0.82180000
7857.60   0.87680003
7866.93   0.92190004
7868.90   1.75020002
7870.88   1.19359996
7872.88   1.97459999
7876.01   1.71830003
7881.86   1.15509996
7883.81   1.09129999
7887.77   0.92630001
7890.51   0.59959997
7892.51   0.85369999
7894.49   0.82840001
7895.62   1.02529998
7902.52   1.33440002
7906.49   1.70400004
7910.47   1.38060000
7914.39   2.31669999
7918.58   4.60030000
7920.57   5.01940000
7922.54   4.74660001
7924.46   5.07440002
7926.31   4.55519999
7928.14   4.79170002
7930.12   4.06570001
7932.07   5.58370004
7934.07   5.34720001
7936.07   5.69039998
7938.07   5.31639999
7940.07   5.65959997
7941.72   5.20859998
7942.95   5.64199997
7944.96   5.28670005
7946.96   5.54739998
7948.10   4.02499997
7949.15   4.30330001
7950.98   3.34409997
7952.84   5.21740003
7954.84   4.69489999
7955.39   4.96000000
7957.40   0.82619998
7959.40   3.95020002
7963.18   3.71590003
7965.18   4.07890003
7967.17   3.39470002
7969.10   3.78520004
7970.27   3.04709998
7972.27   3.41449996
7974.24   2.98439997
7976.10   3.26820005
7977.61   2.85569996
7979.61   3.10210000
7981.61   1.46090000
7985.57   1.44990002
7987.54   0.52480001
7989.51   0.66559998
7991.99   0.61609999
7993.99   0.73050002
7999.93   0.89659996
8001.93   0.91639999
8005.73   0.76570001
8011.46   0.58750001
8019.42   0.93839996
8021.42   0.99779996
8025.42   0.97470002
8033.43   0.94829998
8035.43   0.89219999
8039.43   0.87350002
8043.22   0.94940005
8049.77   0.70079997
8051.77   0.49399999
8055.77   0.55230002
8061.77   0.81959997
8063.77   0.93069998
8067.77   1.08139997
8069.42   1.17929996
8071.10   1.15620003
8073.10   1.25519999
8074.43   1.01099998
8080.43   1.02420001
8086.34   1.00330001
8090.19   0.86030000
8092.11   0.76019997
8094.12   1.00550004
8096.42   0.89770003
8099.79   1.28379997
8104.93   1.19249999
8106.81   1.26070004
8110.57   1.08139997
8114.45   1.20570001
8117.93   0.91309999
8119.73   1.18040003
8127.49   4.60580004
8129.14   4.87419996
8130.68   4.50240000
8131.39   4.92919998
8132.88   4.36490004
8134.88   4.79609999
8136.88   4.48040003
8136.95   4.81479996
8138.95   4.30330001
8140.84   4.73560003
8142.59   4.38910005
8144.59   4.76310004
8146.26   4.11629996
8147.81   4.40670005
8149.81   4.13940000
8151.68   4.57719996
8153.51   4.07560003
8155.34   4.37039998
8157.15   4.05029995
8159.08   4.39899996
8160.92   3.80720001
8162.91   4.25929996
8164.54   3.51680003
8166.13   3.89959997
8167.77   3.64220004
8169.48   4.05029995
8171.22   3.72139997
8173.14   3.95680003
8174.96   0.73269995
8176.83   2.38930002
8179.75   2.45419996
8181.21   2.88870001
8182.64   2.23749996
8184.11   2.66760005
8185.50   2.29910000
8187.03   2.58510001
8188.55   2.16160004
8190.11   2.49489999
8191.62   1.68420001
8192.93   2.00649998
8194.60   1.38829998
8196.12   2.15279999
8199.73   1.69410002
8201.64   2.10550004
8203.34   1.48180000
8205.26   1.99549999
8207.07   0.98679998
8208.80   1.89869996
8212.70   1.39050002
8214.45   1.67539996
8216.21   0.31800003
8219.95   0.17389996
8227.10   0.99890003
8228.87   1.66109997
8230.87   1.17269995
8238.36   1.14409997
8242.33   0.81959997
8249.99   0.70300001
8259.75   0.89989997
8261.41   1.16610004
8265.14   1.05609999
8274.28   0.86580004
8276.10   0.77890003
8278.02   0.89110002
8281.86   0.91200002
8283.71   0.94280004
8285.45   0.83059995
8288.87   1.11000005
8290.58   1.04510001
8292.45   2.14619998
8297.71   3.57069998
8305.42   3.71590003
8307.26   3.15820000
8309.21   3.43099998
8311.15   2.91620003
8320.73   0.77890003
8326.59   0.77009998
8328.49   0.94060000
8338.19   1.07590003
8343.39   0.82400004
8348.78   1.10450001
8350.65   1.36190004
8351.80   1.06270000
8355.22   1.18810001
8362.85   1.15069998
8366.85   1.13089995
8368.85   1.09459999
8370.85   1.29699999
8380.86   1.46970005
8382.86   1.51369999
8388.86   1.16829998
8390.86   1.30469997
8392.86   1.17929996
8398.87   1.38940005
8400.87   1.29809996
8402.87   2.04280004
8406.87   1.79639999
8408.87   2.36289997
8412.87   1.71170002
8416.88   2.47399999
8420.88   0.72060000
8425.16   0.42360001
8431.59   1.05059995
8439.59   1.64349997
8441.59   0.35539996
8443.84   0.66010003
8447.84   0.72720001
8453.85   0.87020002
8457.85   0.95380002
8463.85   0.89880000
8464.28   0.70409997
8466.83   0.76460004
8471.09   0.90319997
8481.10   1.32889998
8485.10   0.99119995
8493.11   0.33119995
8501.11   1.70949998
8503.11   2.33539996
8505.11   1.65339999
8512.19   0.78439997
8514.11   0.54460004
8516.65   0.89659996
8519.35   0.81629996
8523.35   0.53800003
8531.35   2.83369999
8535.36   4.25599996
8539.36   1.20570001
8541.36   3.60810001
8545.07   2.42229997
8548.87   3.58829998
8550.83   2.31779996
8552.59   3.75000005
8554.56   1.10120000
8556.11   3.67740003
8557.99   0.77119995
8561.23   0.97579999
8563.05   0.67549999
8564.79   2.09890003
8568.35   1.77989997
8570.13   2.94259997
8573.76   1.32120000
8578.44   1.19910000
8579.70   1.08469997
8581.14   2.63239995
8583.22   1.43890003
8589.22   0.98460004
8591.22   0.46319997
8595.22   1.44330001
8599.22  -0.04169997
8601.23   0.49509996
8609.23   1.54780001
8613.05   1.69740003
8616.87   1.65230002
8617.97   1.97790000
8621.59   1.10450001
8627.32   0.86910005
8630.34   0.97249999
8632.02   3.41009998
8635.17   2.72810001
8639.39   1.61380002
8641.33   1.03519999
8643.33   5.22949998
8644.27   1.05170002
8648.27   4.23399999
8652.27   3.92600001
8657.59   0.32019997
8664.84   3.22529998
8668.70   2.89309999
8672.45   0.62270000
8674.45   1.51590003
8676.45   1.25850000
8678.30   1.52469997
8680.29   0.30480001
8684.04   1.19579999
8687.80   1.05389996
8691.64   0.53689996
8700.91   2.42559998
8706.16   3.62019997
8710.16   2.16820005
8712.16   3.51569996
8714.17   2.08570001
8716.17   2.80510001
8718.17   1.05830003
8720.17   3.42990002
8724.17   3.01299995
8728.17   2.47950003
8730.17   1.77989997
8736.18   4.95779996
8740.18   0.86690001
8744.18   1.20570001
8748.18   1.01869996
8750.18   1.60610004
8752.18   1.31020002
8760.19   0.60070004
8764.19   0.59410002
8766.19   1.51590003
8770.19   0.30589998
8774.20   2.98109997
8780.20   1.26949998
8782.20   2.37830003
8784.20   1.07699999
8786.20   1.41359996
8788.20   0.69200002
8790.20   3.14390001
8796.21   1.01429999
8798.21   4.58379997
8800.21   4.36160004
8802.21   4.65749996
8804.21   4.30550004
8806.21   4.57059995
8808.21   4.25820000
8810.21   4.47929996
8812.22   4.20100004
8814.22   4.52330001
8816.22   4.24169997
8818.22   4.46829998
8820.22   1.75680003
8822.22   2.14070004
8826.22   2.18139997
8830.23   2.11099998
8832.23   1.31020002
8836.23   2.30460004
8838.23   1.94049997
8840.23   4.63880000
8842.23   4.21749996
8844.23   5.11839996
8846.23   1.35419996
8850.24   4.54310004
8852.24   4.19110002
8854.24   4.44520004
8856.24   4.08000000
8858.24   4.33189999
8860.24   1.74799998
8862.24   3.41449996
8864.24   1.70730005
8868.25   1.57860003
8870.25   1.29149995
8872.25   2.03509996
8874.25   1.21339999
8876.25   2.10220004
8878.25   1.39159999
8880.25   4.22300001
8884.26   2.15389996
8886.26   3.53000005
8888.26   3.17140002
8890.26   4.82910005
8892.26   4.53209995
8894.26   4.79719996
8896.26   4.53209995
8898.26   5.14480001
8900.26   2.58730005
8904.27   4.67399999
8908.27   4.03380002
8912.27   2.94480001
8914.27   1.72820005
8918.27   2.71050002
8928.28   3.41009998
8930.28   3.79730000
8932.28   3.51680003
8934.28   3.76760005
8936.28   1.84810001
8940.28   1.40810001
8942.28   1.26730005
8946.29   1.28160004
8948.29   0.76900002
8950.29   0.83500003
8952.29   0.53470002
8954.29   1.02970005
8960.30   0.68100004
8964.30   0.69200002
8970.30   1.48619998
8972.30   2.53339999
8974.30   2.18910005
8976.30   2.52019997
8978.30   1.21669999
